query,library,term,p_value,adj_p_value,n_genes,genes
union (82),ChEA_2022,CTCF 33576154 ChIP-Seq Human Liver ProstateCancer,2.7785472119589736e-05,0.002420809258419256,31,OTUD4;KHDRBS1;GTF3C5;NDUFB10;COL14A1;BRAT1;AAAS;MACROH2A1;LARP1B;GPHN;BAG6;RAI1;MCRIP2;AP1G2;UFD1;POLE;NCOA2;PLEKHG4;SDF2L1;TBCD;HAUS5;ELP6;TDRD3;H2BC13;GCFC2;POLR3A;HOOK1;EIF3G;RNPS1;LRCH3;TELO2
union (82),ChEA_2022,E2F4 17652178 ChIP-ChIP JURKAT Human,3.704044021476548e-05,0.0028685763144101714,11,TLE4;BLM;CDC23;GTF3C5;CSTF2T;UBAP2;KNTC1;PPIL3;AAAS;TDRD3;TMPO
union (82),ChEA_2022,CHD1 19587682 ChIP-ChIP MESCs Mouse,4.823999648249382e-05,0.0033623277548298193,11,TLE4;HOOK1;PSPC1;KNTC1;FANCB;PPIL3;AAAS;TDRD3;TNRC6B;FTSJ3;CEP78
union (82),ChEA_2022,CREM 20920259 ChIP-Seq GC1-SPG Mouse,7.159060351746765e-05,0.004536240968334087,35,OTUD4;KHDRBS1;BLM;NDUFB10;CHD7;NCAPG2;CSTF2T;AAAS;N4BP2L2;GIGYF2;GPHN;RPTOR;RAI1;SART1;UBAP2L;TNPO1;CCHCR1;TMPO;RBM6;CEP78;TLE4;FANCI;NCOA2;SDF2L1;SMARCA5;THOC3;HAUS5;TDRD3;TNRC6C;HOOK1;PSPC1;STT3A;UBAP2;RNPS1;TELO2
union (82),ChEA_2022,MYC 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma,0.0001390020173467159,0.008073700507555083,32,GTF3C5;BRAT1;CHD7;NCAPG2;UBR3;MACROH2A1;GIGYF2;LARP1B;BAG2;H3C1;MVB12A;UFD1;TNPO1;RBM6;CEP78;TLE4;NCOA2;SDF2L1;H2AC6;SMARCA5;THOC3;HAUS5;ISL1;ELP6;H2BC13;GCFC2;FRG1;UBAP2;PPIL3;DCP1A;LRCH3;TNRC6B
union (82),ChEA_2022,SPI1 22790984 ChIP-Seq ERYTHROLEUKEMIA Mouse,0.00018187198964069202,0.00975113667535095,17,FANCI;TBCD;CSTF2T;FANCB;AAAS;TNRC6C;BAG6;AP1G2;FRG1;BANF1;UBAP2L;PPIL3;DCP1A;TELO2;TMPO;RBM6;CEP78
union (82),ChEA_2022,AF4 26711339 ChIP-Seq SEM Human Blood Leukemia,0.00023476003074729732,0.011433997754525568,25,OTUD4;KHDRBS1;BLM;GTF3C5;CHD7;GIGYF2;GPHN;RAI1;BAG2;BANF1;TNPO1;TMPO;RBM6;CEP78;TLE4;NCOA2;SMARCA5;TBCD;TDRD3;PSPC1;UBAP2;PPIL3;DCP1A;LRCH3;TNRC6B
union (82),ChEA_2022,POU5F1 18555785 ChIP-Seq MESCs Mouse,0.00024606881824660475,0.011433997754525568,8,TLE4;PLEKHG4;CSTF2T;BANF1;PPIL3;DCP1A;AAAS;CEP78
union (82),ChEA_2022,MYC 19030024 ChIP-ChIP MESCs Mouse,0.0003191154518435653,0.013242751732363346,24,FANCI;BLM;SDF2L1;GTF3C5;AAAS;TDRD3;FTSJ3;SART1;POLR3A;CDC23;BAG2;PSPC1;STT3A;UBAP2;BANF1;UBAP2L;KNTC1;RNPS1;PPIL3;DCP1A;TNPO1;POLE;TELO2;TMPO
union (82),ChEA_2022,GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human,0.00032518000133712,0.013242751732363346,12,KHDRBS1;BLM;SDF2L1;CDC23;PSPC1;FRG1;SMARCA5;TBCD;HAUS5;TNPO1;GPHN;TNRC6B
union (82),ChEA_2022,EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse,0.0003419935884971883,0.013242751732363346,13,OTUD4;KHDRBS1;NDUFB10;SMARCA5;THOC3;AAAS;FTSJ3;STT3A;UBAP2;UBAP2L;PPIL3;TNPO1;CCHCR1
union (82),ChEA_2022,RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human,0.0007478059505686722,0.027432670923492868,30,OTUD4;KHDRBS1;BLM;GTF3C5;MPG;CHD7;NCAPG2;UBR3;CSTF2T;GIGYF2;LARP1B;GPHN;RPTOR;RAI1;POLE;TMPO;RBM6;TLE4;FANCI;NCOA2;TBCD;TET1;TDRD3;FTSJ3;TNRC6C;BCL9;UBAP2;RNPS1;DCP1A;TNRC6B
union (82),ChEA_2022,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,0.0008720141265682649,0.02866932613552537,20,TLE4;FANCI;KHDRBS1;BLM;GTF3C5;MPG;TDRD3;RPTOR;BCL9;GCFC2;MCRIP2;BAG2;PSPC1;MVB12A;UBAP2;RNPS1;TNPO1;POLE;TELO2;TNRC6B
union (82),ChEA_2022,VDR 23849224 ChIP-Seq CD4+ Human,0.0009361636114306666,0.02866932613552537,17,TLE4;NCAPG2;SMARCA5;CSTF2T;THOC3;AAAS;BCL9;SART1;CDC45;PSPC1;FRG1;EIF3G;RNPS1;DCP1A;TNRC6B;TMPO;RBM6
union (82),ChEA_2022,YY1 26981420 ChIP-Seq C2C12 Mouse Muscle,0.0009361636114306666,0.02866932613552537,17,KHDRBS1;PLEKHG4;GTF3C5;SMARCA5;CSTF2T;ELP6;N4BP2L2;TDRD3;GIGYF2;RPTOR;BAG6;SART1;CDC23;CDC45;PSPC1;DCP1A;TNRC6B
union (82),ChEA_2022,TCFCP2L1 18555785 ChIP-Seq MESCs Mouse,0.0009460466300101628,0.02866932613552537,15,OTUD4;RYR2;GTF3C5;MPG;TDRD3;GPHN;FTSJ3;SART1;CDC23;AP1G2;RNPS1;DCP1A;CCHCR1;TMPO;RBM6
