query,library,term,p_value,adj_p_value,combined_score,n_genes,genes
UBR3wt (50),GO_Biological_Process_2023,mRNA Transcription By RNA Polymerase II (GO:0042789),0.0040654672914765,0.06730606960333317,126.9,2,NCOA1;NCOA2
UBR3wt (50),GO_Biological_Process_2023,DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005),0.005180691162792406,0.07719229832560685,106.5,2,BLM;POLE
UBR3wt (50),GO_Biological_Process_2023,Regulation Of Primary Metabolic Process (GO:0080090),0.005180691162792406,0.07719229832560685,106.5,2,NCOA2;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,mRNA Transcription (GO:0009299),0.005180691162792406,0.07719229832560685,106.5,2,NCOA1;NCOA2
UBR3wt (50),GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),0.0057656779158458075,0.08313735575429278,31.0,4,BLM;SMARCA5;MACROH2A1;POLE
UBR3wt (50),GO_Biological_Process_2023,DNA Repair (GO:0006281),0.005978262406064479,0.08350885298471318,30.5,4,BLM;SMARCA5;MACROH2A1;POLE
UBR3wt (50),GO_Biological_Process_2023,"Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)",0.00722250262714212,0.09783208104037962,83.4,2,SMARCA5;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,Cell Cycle G1/S Phase Transition (GO:0044843),0.007499481830469069,0.09859612877116687,81.1,2,KHDRBS1;POLE
UBR3wt (50),GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),5.00285322762121e-10,1.9010842264960598e-08,131.1,34,KHDRBS1;BLM;CHD7;CSTF2T;MACROH2A1;N4BP2L2;LARP1B;H2AC18;MCRIP2;H3C1;MVB12A;UFD1;BANF1;UBAP2L;TNPO1;POLE;TMPO;RBM6;TLE4;NCOA1;NCOA2;H2AC6;SMARCA5;TET1;SMARCA1;ISL1;TDRD3;H2BC13;BCL9;GCFC2;H3-7;PSPC1;EIF3G;UBAP2
UBR3wt (50),GO_Cellular_Component_2023,Nucleus (GO:0005634),2.098158455555937e-09,3.98650106555628e-08,113.4,31,KHDRBS1;BLM;CHD7;MACROH2A1;N4BP2L2;LARP1B;H2AC18;MCRIP2;H3C1;UFD1;BANF1;UBAP2L;TNPO1;POLE;TMPO;RBM6;TLE4;NCOA1;NCOA2;H2AC6;SMARCA5;TET1;SMARCA1;ISL1;TDRD3;H2BC13;GCFC2;H3-7;PSPC1;EIF3G;UBAP2
UBR3wt (50),GO_Cellular_Component_2023,Chromosome (GO:0005694),5.48427106106235e-05,0.0005216314933278028,135.7,5,BLM;SMARCA5;BANF1;MACROH2A1;FTSJ3
