Gene Symbol,WT_UT1_ratio,WT_UT2_ratio,WT_UT5h1_ratio,WT_UT5h2_ratio,WT_UT10h1_ratio,WT_UT10h2_ratio,WT_UT15h1_ratio,WT_UT15h2_ratio,frac_remaining_15h,decay_k_per_h,halflife_h
SYT7,1.0708057633299122,0.9291942366700879,0.7600064061480627,0.8048630922291009,0.7439133549192429,0.7340575058766087,0.7970935260409453,0.8796455167654182,0.8383695214031818,0.011634675175588235,59.57598042911418
SYTL4,1.0238829676308645,0.9761170323691356,0.6892081950786848,0.6503894530658769,0.6479891256790256,0.5804870784765488,0.47216525377079427,0.5270761358663123,0.4996206948185533,0.04346171138115537,15.948455744899361
SYVN1,1.022653601330536,0.9773463986694639,0.935706945217,0.8895370083496411,0.7509260921309397,0.7729539243577177,0.7752996169351082,0.7976211253129268,0.7864603711240175,0.018008187090606934,38.49066966443783
SZRD1,0.9998628689126182,1.0001371310873817,0.6156183288841003,0.4947918369101244,0.42355301324958466,0.3877769677458075,0.3196202538445881,0.29286308725576354,0.3062416705501758,0.07723670486021911,8.974323565646467
SZT2,0.9744749702728825,1.0255250297271177,0.9123732083951889,0.7514231075919653,0.8357541183553168,0.7738573860159149,0.7368562621492863,0.7963900325346632,0.7666231473419748,0.01655426717228045,41.871208996831726
TAB1,1.0059425384748737,0.9940574615251264,0.8723420648376506,0.848302144518864,0.916704129526906,0.8594196987662903,0.8510214991776334,0.8684782231309917,0.8597498611543125,0.008442623575927347,82.10092210392185
TAB3,0.9948832172367474,1.0051167827632523,0.9535403689982893,0.8149733203745451,0.9043750242107008,0.7900970045249318,0.6649158355630495,0.7379108210446181,0.7014133283038337,0.022199400700969492,31.223688868757353
TACC1,1.0154674476747085,0.9845325523252915,0.9694182220587519,0.8588492029298254,0.7924909009378391,0.764820555003634,0.6302245363814754,0.6139465511392918,0.6220855437603836,0.03165328966992915,21.898108783885426
TACC2,1.0347657577370832,0.9652342422629169,1.0191510167053281,0.924466444637618,0.8720939745995792,0.8697235729664654,0.8239579380052833,0.8355246671855077,0.8297413025953955,0.013332348067766082,51.98988032991599
TACC3,1.0318530987983074,0.9681469012016927,0.7996432693912008,0.7557459584170092,0.6045227668467203,0.5970156108578155,0.37408872419890016,0.40135299144615255,0.38772085782252635,0.06200971722965464,11.178041305894949
