gene,Yi_remaining_15h,Yi_decay_k,Li_HEK293T_t_half_h,is_WT_best_hit
NUFIP1,0.4514903228310925,0.0515050892066523,8.83,False
NUMBL,0.6963125686480093,0.0234249196007985,11.07,False
NUP153,0.5969038705204495,0.035549810496407,23.77,False
NUSAP1,0.2157015510945867,0.0998786131278769,3.23,False
OBSL1,0.5287218121178527,0.0412604226851921,11.3,False
ODF2,0.2776840143727903,0.0828201592597002,3.87,False
ODF2L,0.3814829767969868,0.0640840053132008,2.52,False
OFD1,0.4113014644910027,0.0570056973687053,12.22,False
OGFOD1,0.8545471381485785,0.0106620658099144,25.67,False
OGT,0.569207039522409,0.0365198169418853,18.46,False
OIP5,0.6126245747650307,0.0325251105391919,9.17,False
ORC6,0.4016838117624576,0.0593015082652223,5.88,False
OS9,0.3018095284896771,0.0794920542851711,23.03,False
OSER1,0.0920098193557645,0.14862628621454,0.64,False
OTUD5,0.7675103566353487,0.0162245384626048,13.01,False
PALB2,0.6308824720058342,0.032096128955748,21.51,False
PANK3,0.7308654514225377,0.0191316408847998,21.27,False
PAPOLG,0.6771150264994829,0.0275405540455783,19.32,False
PARP4,0.2233585318214676,0.0951502836608128,3.29,False
PATZ1,0.6358317701874425,0.0298586394305413,20.08,False
PAWR,0.7261239632013081,0.0221428030937966,18.38,False
PCGF1,0.8847171485086981,0.0085288357529441,23.08,False
PCGF5,0.9910638469924145,0.0015386870020351,28.49,False
PCGF6,0.5909138078571774,0.0334905530175955,15.25,False
PCLAF,0.3515621076415322,0.069866226932953,1.6,False
PCM1,0.7096403366252104,0.0223631662955914,17.45,False
PCMTD2,1.4066768421938685,-0.0250474946715403,3.79,False
PDCD2,0.7936709021992885,0.0166648226789603,22.86,False
PDCD4,0.2497037884502918,0.0889186002197788,1.62,False
PDCD7,0.7919480261100549,0.0155044446519729,21.99,False
PDE4DIP,0.6867138505330848,0.0236510885384283,25.72,False
PDP2,0.2537056814676446,0.0926300937679237,8.73,False
PDZD11,0.2053336655324568,0.1030080720978672,13.95,False
PDZRN3,0.4367789488072457,0.0550132047594974,14.95,False
PEX7,1.0787860637421496,-0.0056124293170112,19.32,False
PFDN5,0.8887786816360139,0.0065046117788843,13.73,False
PFDN6,0.5167308377733915,0.0436550583449865,21.43,False
PHF10,0.6183809143096878,0.0315071686022792,15.52,False
PHF14,0.5413200588170406,0.0395378502252892,18.69,False
PHF20L1,0.7925087189957254,0.0149623143285236,18.63,False
PHF21A,0.6634802568126108,0.0281398472243304,31.25,False
PHF23,0.4437571021020062,0.0549287502810312,19.66,False
PHLDB3,0.6415064218537834,0.028313824197581,30.76,False
PHLPP1,0.2573002935191403,0.0864931308544417,7.29,False
PHRF1,0.380275393996736,0.0641706018064045,17.51,False
PHYH,0.2921558057287671,0.0830824377014623,12.24,False
PIAS1,0.4393740242708161,0.0541542210086365,18.19,False
PIAS3,0.4881418165322611,0.0477099907760341,9.76,False
PIAS4,0.4479136230627821,0.053800070978329,13.66,False
PIBF1,0.2923020104169587,0.0799847401550761,7.23,False
PICK1,0.4578691820455627,0.0466325419193938,15.91,False
PIK3R1,0.6677629591864869,0.0268798904615232,28.78,False
PIK3R2,0.3957014220536242,0.0603842182701538,22.01,False
PIP5K1A,0.2821888169330656,0.0830926794172655,17.35,False
PIP5K1C,0.3430627049483756,0.0696409714080185,23.14,False
PITX1,0.2942635921208522,0.0810221382267669,8.79,False
PJA1,0.6419325393612696,0.0278449541681697,5.22,False
PJA2,0.2401863111800999,0.0912164224441285,3.03,False
PLAGL2,0.1988027438637253,0.1077454933631539,9.19,False
PLD3,0.2841519850486099,0.0809339751103563,11.24,False
PLEKHM3,0.4967314829061517,0.0432196041421547,13.83,False
PLK1,0.3940185809758179,0.0604332623147712,9.12,False
PMF1,0.8086340596692112,0.01105248308393,11.29,False
PMM1,0.9598809366845398,0.0031805465947828,11.67,False
PNMA1,0.4219754105091419,0.0555896442772958,1.16,False
PNMA2,0.7639702615591817,0.0178144300561902,13.87,False
PNMA6A,0.3152464133541253,0.0672688899047296,9.09,False
PNMA8A,0.3080401330037691,0.0742222971223199,11.99,False
PNPLA2,0.4592859011967671,0.0490935240143846,2.48,False
POC1A,0.4873626408217294,0.0479990102642935,7.29,False
POC5,0.3644455911039844,0.0660155750928722,12.48,False
POGK,0.8404217096338864,0.0118331637126026,32.81,False
POLE4,1.4077215215977965,-0.0251484162645205,33.56,False
POLK,0.4618994066335046,0.0484342437100144,6.38,False
POLR1D,0.4836697625605039,0.0498658258938153,9.43,False
POLR2A,0.5102799226326253,0.0419825935281153,18.7,False
POLR2C,1.7031824473952688,-0.0377529902162394,18.23,False
POLR2E,0.576915297860584,0.0348171337476749,28.99,False
POLR2G,0.861420703261778,0.0087459922104665,23.42,False
POLR2I,0.6580891154170239,0.0262890616719359,20.19,False
POLR2K,0.4927010964475496,0.0478241101399625,17.88,False
